"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"1b","Unknown",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,""
"1a","Unknown",0.001,0.000,0.001,0.001,0.000,0.000,0.000,-0.000,""
"2b","Unknown",0.002,0.201,0.202,0.199,0.080,0.050,0.085,0.206,""
"2a","Unknown",0.001,0.119,0.118,0.115,0.044,0.019,0.076,0.243,""
"3b","Unknown",0.000,0.095,0.095,0.094,0.037,0.022,0.053,0.098,""
"3a","Unknown",0.001,0.059,0.058,0.057,0.024,0.010,0.050,0.117,""
"4b","Unknown",0.000,0.114,0.113,0.111,0.034,0.024,0.118,0.133,""
"4a","Unknown",0.000,0.069,0.068,0.066,0.019,0.009,0.110,0.152,""
"5b","Unknown",0.004,0.051,0.051,0.050,0.018,0.014,0.067,0.061,""
"5a","Unknown",-0.003,0.023,0.023,0.022,0.003,-0.001,0.052,0.055,""
"6b","Unknown",-0.009,0.479,0.474,0.463,0.139,0.097,0.353,0.643,""
"6a","Unknown",-0.009,0.328,0.321,0.311,0.091,0.042,0.330,0.732,""
"7b","Unknown",-0.011,0.775,0.770,0.757,0.203,0.149,0.387,0.724,""
"7a","Unknown",-0.010,0.462,0.453,0.438,0.106,0.047,0.334,0.922,""
"8b","Unknown",0.008,0.384,0.380,0.373,0.125,0.091,0.278,0.477,""
"8a","Unknown",0.009,0.247,0.242,0.235,0.080,0.040,0.258,0.550,""
"9b","Unknown",0.008,0.334,0.329,0.322,0.110,0.077,0.237,0.449,""
"9a","Unknown",0.009,0.268,0.262,0.255,0.090,0.054,0.231,0.498,""
"10b","Unknown",0.007,0.346,0.341,0.333,0.112,0.080,0.247,0.465,""
"10a","Unknown",0.009,0.239,0.233,0.226,0.079,0.040,0.231,0.523,""
"blank","Unknown",0.004,0.001,0.000,0.000,0.006,0.002,0.002,0.003,""
"11b","Unknown",0.007,0.476,0.469,0.459,0.156,0.112,0.369,0.663,""
"11a","Unknown",0.007,0.334,0.326,0.317,0.111,0.059,0.350,0.753,""
"12b","Unknown",0.006,0.377,0.372,0.364,0.124,0.088,0.279,0.510,""
"12a","Unknown",0.009,0.248,0.242,0.236,0.083,0.043,0.253,0.559,""
"13b","Unknown",0.005,0.007,0.006,0.007,0.010,0.005,0.009,0.015,""
"13a","Unknown",0.005,0.005,0.004,0.004,0.008,0.003,0.007,0.013,""
"14b","Unknown",0.007,0.484,0.478,0.468,0.159,0.114,0.361,0.648,""
"14a","Unknown",0.008,0.311,0.304,0.295,0.101,0.052,0.324,0.708,""
"15b","Unknown",0.007,0.396,0.391,0.382,0.128,0.092,0.281,0.526,""
"15a","Unknown",0.009,0.257,0.251,0.244,0.083,0.043,0.254,0.574,""
"16b","Unknown",0.007,0.426,0.421,0.412,0.145,0.102,0.336,0.610,""
"16a","Unknown",0.008,0.284,0.278,0.270,0.097,0.050,0.301,0.660,""
"17b","Unknown",0.009,0.434,0.429,0.420,0.144,0.103,0.313,0.598,""
"17a","Unknown",0.009,0.285,0.279,0.271,0.094,0.049,0.282,0.647,""
"18b","Unknown",0.007,0.412,0.408,0.400,0.139,0.095,0.302,0.580,""
"18a","Unknown",0.008,0.272,0.266,0.259,0.093,0.046,0.271,0.624,""
"19b","Unknown",0.007,0.377,0.372,0.365,0.126,0.087,0.262,0.512,""
"19a","Unknown",0.008,0.246,0.240,0.234,0.082,0.042,0.236,0.555,""
"20b","Unknown",0.006,0.361,0.357,0.349,0.118,0.083,0.255,0.490,""
"20a","Unknown",0.007,0.235,0.230,0.223,0.077,0.039,0.229,0.528,""
"21b","Unknown",0.006,0.405,0.400,0.391,0.130,0.092,0.288,0.549,""
"21a","Unknown",0.008,0.263,0.257,0.250,0.086,0.043,0.257,0.592,""
"22b","Unknown",0.007,0.439,0.434,0.424,0.147,0.104,0.323,0.610,""
"22a","Unknown",0.008,0.285,0.279,0.271,0.095,0.049,0.287,0.661,""
"23b","Unknown",0.007,0.398,0.394,0.386,0.131,0.093,0.283,0.525,""
"23a","Unknown",0.008,0.256,0.251,0.244,0.084,0.043,0.257,0.576,""
"24b","Unknown",0.008,0.487,0.481,0.471,0.162,0.112,0.366,0.685,""
"24a","Unknown",0.009,0.319,0.312,0.303,0.106,0.054,0.322,0.729,""
"25b","Unknown",0.007,0.403,0.399,0.391,0.148,0.098,0.311,0.607,""
"25a","Unknown",0.008,0.268,0.263,0.256,0.098,0.049,0.273,0.646,""
"26b","Unknown",0.007,0.463,0.457,0.448,0.150,0.106,0.339,0.630,""
"26a","Unknown",0.008,0.302,0.296,0.287,0.097,0.050,0.301,0.686,""
"27b","Unknown",0.007,0.355,0.351,0.344,0.122,0.085,0.258,0.488,""
"27a","Unknown",0.008,0.229,0.224,0.218,0.078,0.039,0.230,0.523,""
"28b","Unknown",0.011,0.416,0.412,0.405,0.149,0.103,0.299,0.583,""
"28a","Unknown",0.012,0.273,0.268,0.261,0.098,0.051,0.271,0.629,""
"29b","Unknown",0.009,0.417,0.412,0.404,0.145,0.105,0.311,0.578,""
"29a","Unknown",0.011,0.268,0.262,0.255,0.092,0.049,0.279,0.628,""
"30b","Unknown",0.007,0.487,0.481,0.471,0.163,0.114,0.365,0.678,""
"30a","Unknown",0.008,0.318,0.312,0.303,0.106,0.054,0.324,0.730,""
"31b","Unknown",0.007,0.453,0.446,0.436,0.144,0.105,0.345,0.625,""
"31a","Unknown",0.008,0.295,0.288,0.279,0.094,0.049,0.306,0.678,""
"32b","Unknown",0.007,0.457,0.450,0.440,0.147,0.104,0.344,0.648,""
"32a","Unknown",0.008,0.303,0.296,0.287,0.097,0.051,0.301,0.694,""
"33b","Unknown",0.008,0.479,0.474,0.464,0.157,0.112,0.355,0.636,""
"33a","Unknown",0.008,0.306,0.299,0.291,0.100,0.051,0.314,0.694,""
"34b","Unknown",0.007,0.381,0.375,0.367,0.125,0.089,0.282,0.527,""
"34a","Unknown",0.008,0.249,0.243,0.236,0.081,0.042,0.251,0.569,""
"35b","Unknown",0.007,0.520,0.514,0.503,0.172,0.124,0.404,0.713,""
"35a","Unknown",0.008,0.333,0.325,0.316,0.107,0.056,0.359,0.779,""
"36b","Unknown",0.006,0.349,0.345,0.338,0.119,0.083,0.254,0.476,""
"36a","Unknown",0.007,0.226,0.221,0.215,0.076,0.038,0.230,0.521,""
"37b","Unknown",0.006,0.458,0.452,0.443,0.150,0.106,0.343,0.617,""
"37a","Unknown",0.008,0.296,0.289,0.281,0.096,0.049,0.309,0.673,""
"38b","Unknown",0.008,0.382,0.377,0.369,0.125,0.089,0.277,0.504,""
"38a","Unknown",0.008,0.244,0.239,0.232,0.079,0.041,0.250,0.551,""
"39b","Unknown",0.007,0.494,0.487,0.476,0.161,0.114,0.382,0.675,""
"39a","Unknown",0.008,0.321,0.314,0.305,0.104,0.054,0.338,0.733,""
"40b","Unknown",0.006,0.850,0.844,0.830,0.244,0.180,0.439,0.819,""
"40a","Unknown",0.007,0.500,0.490,0.475,0.135,0.067,0.375,1.009,""
"41b","Unknown",0.005,0.090,0.089,0.089,0.040,0.024,0.059,0.103,""
"41a","Unknown",0.006,0.053,0.052,0.051,0.025,0.010,0.052,0.115,""
"42b","Unknown",0.005,0.121,0.120,0.118,0.043,0.029,0.160,0.151,""
"42a","Unknown",0.006,0.076,0.074,0.072,0.029,0.014,0.153,0.176,""
"43b","Unknown",0.005,0.163,0.163,0.161,0.072,0.041,0.107,0.178,""
"43a","Unknown",0.006,0.100,0.098,0.097,0.048,0.020,0.099,0.209,""
"44b","Unknown",0.004,0.078,0.077,0.077,0.036,0.020,0.048,0.084,""
"44a","Unknown",0.005,0.051,0.049,0.049,0.027,0.011,0.048,0.102,""
"45b","Unknown",0.005,0.083,0.082,0.082,0.039,0.022,0.043,0.088,""
"45a","Unknown",0.005,0.057,0.056,0.055,0.031,0.013,0.044,0.106,""
"46b","Unknown",0.005,0.003,0.002,0.002,0.008,0.003,0.005,0.007,""
"46a","Unknown",0.005,0.003,0.002,0.002,0.008,0.003,0.004,0.007,""
"47b","Unknown",0.007,0.368,0.365,0.358,0.126,0.087,0.256,0.497,""
"47a","Unknown",0.009,0.253,0.248,0.241,0.089,0.045,0.244,0.562,""
"48b","Unknown",0.007,0.505,0.500,0.490,0.174,0.118,0.347,0.701,""
"48a","Unknown",0.009,0.332,0.326,0.317,0.115,0.057,0.315,0.759,""
"49b","Unknown",0.005,0.198,0.197,0.195,0.074,0.050,0.216,0.228,""
"49a","Unknown",0.006,0.114,0.112,0.109,0.045,0.023,0.200,0.259,""
"50b","Unknown",0.006,0.343,0.339,0.332,0.116,0.080,0.241,0.475,""
"50a","Unknown",0.008,0.222,0.217,0.211,0.075,0.038,0.215,0.508,""
"51b","Unknown",0.007,0.356,0.351,0.344,0.116,0.080,0.246,0.487,""
"51a","Unknown",0.008,0.234,0.228,0.222,0.077,0.039,0.221,0.521,""
