"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"blank","Unknown",0.001,0.001,0.000,0.000,0.000,0.000,-0.000,-0.000,""
"1_b","Unknown",-0.001,-0.001,-0.001,-0.002,-0.002,-0.002,-0.002,-0.001,""
"1_a","Unknown",-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.000,""
"2_b","Unknown",-0.001,0.454,0.452,0.445,0.159,0.102,0.291,0.526,""
"2_a","Unknown",0.000,0.279,0.275,0.268,0.091,0.040,0.265,0.606,""
"3_b","Unknown",-0.002,0.435,0.432,0.425,0.147,0.096,0.279,0.483,""
"3_a","Unknown",-0.001,0.261,0.257,0.250,0.085,0.037,0.254,0.559,""
"4_b","Unknown",-0.002,0.336,0.335,0.330,0.115,0.073,0.206,0.363,""
"4_a","Unknown",-0.001,0.206,0.203,0.197,0.067,0.029,0.193,0.431,""
"5_b","Unknown",0.001,0.486,0.484,0.476,0.164,0.112,0.327,0.530,""
"5_a","Unknown",-0.000,0.291,0.286,0.279,0.095,0.044,0.303,0.623,""
"6_b","Unknown",-0.001,0.427,0.425,0.418,0.145,0.095,0.243,0.460,""
"6_a","Unknown",-0.000,0.254,0.250,0.243,0.081,0.036,0.221,0.536,""
"7_b","Unknown",-0.001,0.460,0.458,0.450,0.154,0.103,0.309,0.497,""
"7_a","Unknown",0.000,0.273,0.269,0.262,0.089,0.040,0.283,0.581,""
"8_b","Unknown",-0.002,0.318,0.317,0.312,0.108,0.069,0.182,0.346,""
"8_a","Unknown",-0.000,0.193,0.190,0.185,0.064,0.029,0.170,0.404,""
"9_b","Unknown",-0.000,0.444,0.442,0.435,0.154,0.100,0.260,0.494,""
"9_a","Unknown",0.000,0.269,0.265,0.258,0.090,0.040,0.239,0.572,""
"10_b","Unknown",-0.001,0.391,0.390,0.384,0.138,0.089,0.221,0.438,""
"10_a","Unknown",-0.000,0.237,0.234,0.228,0.083,0.038,0.205,0.505,""
"11_b","Unknown",-0.001,0.363,0.361,0.355,0.126,0.081,0.223,0.414,""
"11_a","Unknown",0.000,0.220,0.217,0.211,0.072,0.032,0.202,0.475,""
"12_b","Unknown",0.000,0.380,0.378,0.372,0.130,0.085,0.234,0.417,""
"12__a","Unknown",0.001,0.229,0.226,0.220,0.077,0.035,0.217,0.482,""
"13_b","Unknown",-0.001,0.441,0.439,0.431,0.148,0.098,0.283,0.484,""
"13_a","Unknown",0.003,0.268,0.264,0.257,0.089,0.042,0.265,0.566,""
"14_b","Unknown",-0.002,-0.001,-0.001,-0.002,-0.002,-0.003,-0.003,-0.001,""
"14_a","Unknown",-0.000,-0.000,-0.000,-0.000,-0.001,-0.001,-0.002,-0.002,""
"15_b","Unknown",0.002,0.320,0.319,0.314,0.110,0.073,0.188,0.356,""
"15_a","Unknown",0.000,0.192,0.189,0.184,0.062,0.027,0.170,0.406,""
"16_b","Unknown",-0.001,0.172,0.171,0.168,0.053,0.036,0.147,0.199,""
"16_a","Unknown",-0.001,0.103,0.101,0.098,0.030,0.013,0.136,0.228,""
"17_b","Unknown",0.000,0.465,0.462,0.454,0.155,0.104,0.311,0.506,""
"17_a","Unknown",0.002,0.278,0.274,0.267,0.090,0.041,0.284,0.587,""
"18_b","Unknown",0.000,0.477,0.474,0.466,0.169,0.111,0.300,0.540,""
"18_a","Unknown",0.002,0.289,0.285,0.278,0.098,0.045,0.271,0.621,""
"19_b","Unknown",0.000,0.487,0.484,0.474,0.162,0.111,0.349,0.543,""
"19_a","Unknown",0.004,0.292,0.288,0.281,0.095,0.045,0.316,0.624,""
"20_b","Unknown",0.000,0.356,0.353,0.346,0.115,0.080,0.261,0.396,""
"20_a","Unknown",0.002,0.195,0.191,0.186,0.058,0.026,0.218,0.421,""
"21_b","Unknown",-0.000,0.439,0.436,0.428,0.147,0.098,0.290,0.480,""
"21_a","Unknown",0.003,0.265,0.261,0.254,0.086,0.039,0.265,0.553,""
"22_b","Unknown",0.000,0.380,0.377,0.369,0.126,0.085,0.262,0.420,""
"22_a","Unknown",0.002,0.224,0.221,0.215,0.070,0.032,0.234,0.476,""
"23_b","Unknown",0.001,0.460,0.458,0.450,0.157,0.105,0.271,0.502,""
"23_a","Unknown",0.001,0.275,0.270,0.263,0.089,0.040,0.247,0.578,""
"24_b","Unknown",0.002,0.463,0.460,0.451,0.156,0.106,0.310,0.508,""
"24_a","Unknown",0.001,0.277,0.272,0.264,0.088,0.040,0.280,0.582,""
"25_b","Unknown",-0.000,0.370,0.367,0.361,0.124,0.082,0.204,0.396,""
"25_a","Unknown",0.000,0.222,0.218,0.213,0.072,0.032,0.188,0.460,""
"26_b","Unknown",0.000,0.455,0.452,0.444,0.153,0.103,0.276,0.508,""
"26_a","Unknown",0.001,0.275,0.271,0.264,0.089,0.041,0.253,0.584,""
"27_b","Unknown",0.000,0.359,0.356,0.349,0.117,0.081,0.252,0.401,""
"27_a","Unknown",0.001,0.216,0.213,0.207,0.067,0.031,0.229,0.457,""
"28_b","Unknown",0.000,0.439,0.436,0.428,0.148,0.098,0.281,0.499,""
"28_a","Unknown",0.001,0.267,0.262,0.256,0.086,0.039,0.255,0.570,""
"29_b","Unknown",-0.000,0.392,0.390,0.383,0.132,0.087,0.244,0.429,""
"29_a","Unknown",0.001,0.236,0.232,0.226,0.076,0.034,0.223,0.495,""
"30_b","Unknown",0.001,0.431,0.428,0.421,0.147,0.099,0.255,0.473,""
"30_a","Unknown",0.001,0.257,0.254,0.247,0.084,0.038,0.234,0.546,""
"31_b","Unknown",-0.002,-0.001,-0.001,-0.001,-0.002,-0.003,-0.003,-0.003,""
"31_a","Unknown",-0.001,-0.002,-0.002,-0.002,-0.003,-0.003,-0.004,-0.004,""
