"","Sample.ID.x","Flask","Dose","Day","Assay_num","Chek_Turb_750","Check_Absorb","Check_chla","Check_pheo","Chla_ugL","Pheo_ugL","ratio_be_af_eth_corr","Flag_Chla_ugL","Flag_Pheo_ugL"
"1","3b","1","0",NA,1,0.005,0.457,5069.28,601.440000000001,64.7142127659575,7.67795744680852,1.63922518159806,0,0
"2","15b","21","3",NA,1,0.01,0.492,5556.16,382.630399999999,70.9297021276596,4.88464340425531,1.66936416184971,0,0
"3","19b","32","7",NA,1,0.009,0.418,4725.6,305.875200000001,60.3268085106383,3.90478978723405,1.67121418826739,0,0
"4","20b","19","3",NA,1,0.011,0.385,4267.36,372.319999999999,54.4769361702128,4.75302127659573,1.65680473372781,0,0
"5","5b","11","0.5",NA,1,0.01,0.445,5012,349.408,63.9829787234043,4.46052765957446,1.66837387964149,0,0
"6","6b","15","1",NA,1,0.008,0.375,4210.08,326.496000000001,53.7457021276596,4.1680340425532,1.66263237518911,0,0
"7","7b","29","5",NA,1,0.009,0.395,4381.92,422.726399999998,55.9394042553192,5.39650723404253,1.65142857142857,0,0
"8","9b","7","0.5",NA,1,0.006,0.427,4840.16,356.2816,61.7892765957447,4.54827574468085,1.66578599735799,0,0
"9","11b","init2","NA",NA,1,0.003,0.144,1603.84,148.928,9.62304,0.893568000000002,1.64453125,0,0
"10","14b","3","0",NA,1,0.006,0.48,5355.68,562.4896,68.3703829787234,7.18071829787234,1.64733178654292,0,0
"11","2_b","13","1",NA,1,-0.001,0.452,4983.36,769.8432,63.6173617021277,9.8277855319149,1.61933174224344,0,0
"12","3_b","31","7",NA,1,-0.002,0.432,4926.08,476.5696,62.8861276595745,6.08386723404255,1.65184243964422,0,0
"13","4_b","34","7",NA,1,-0.002,0.335,3723.2,545.305599999998,47.5302127659575,6.96134808510636,1.62218649517685,0,0
"14","5_b","18","1",NA,1,0.001,0.484,5498.88,501.772799999999,70.1984680851064,6.40561021276595,1.65560640732265,0,0
"15","6_b","16","1",NA,1,-0.001,0.425,4926.08,311.6032,62.8861276595745,3.97791319148936,1.67234600262123,0,0
"16","7_b","17","1",NA,1,-0.001,0.458,5327.04,302.4384,68.0047659574468,3.86091574468086,1.67682926829268,0,0
"17","8_b","33","7",NA,1,-0.002,0.317,3608.64,371.174399999999,46.0677446808511,4.73839659574467,1.64655172413793,0,0
"18","9_b","6","0",NA,1,0,0.442,4954.72,592.275200000001,63.2517446808511,7.56096000000001,1.63861386138614,0,0
"19","10_b","12","0.5",NA,1,-0.001,0.39,4410.56,476.569599999998,56.3050212765958,6.08386723404253,1.64466292134831,0,0
"20","11_b","27","5",NA,1,-0.001,0.361,4066.88,469.696000000001,51.9176170212766,5.99611914893618,1.63993948562784,0,0
"21","12_b","24","3",NA,1,0,0.378,4296,405.5424,54.8425531914894,5.1771370212766,1.65255474452555,0,0
"22","13_b","20","3",NA,1,-0.001,0.439,5012,452.512000000001,63.9829787234043,5.77674893617023,1.65577889447236,0,0
"23","15_b","9","0.5",NA,1,0.002,0.319,3580,379.193599999999,45.7021276595745,4.84076936170212,1.64471403812825,0,0
"24","16_b","init1","NA",NA,1,-0.001,0.171,1947.52,197.043199999999,11.68512,1.18225919999999,1.64217252396166,0,0
"25","17_b","25","5",NA,1,0,0.462,5327.04,364.3008,68.0047659574468,4.6506485106383,1.66948130277443,0,0
"26","18_b","14","1",NA,1,0,0.474,5355.68,562.4896,68.3703829787234,7.18071829787234,1.64733178654292,0,0
"27","19_b","8","0.5",NA,1,0,0.484,5613.44,325.350399999999,71.6609361702128,4.15340936170212,1.67630057803468,0,0
"28","20_b","22","3",NA,1,0,0.353,4582.4,-602.5856,58.4987234042553,-7.69258212765958,1.82241379310345,0,0
"29","21_b","2","0",NA,1,0,0.436,4983.36,419.2896,63.6173617021277,5.35263319148936,1.65946632782719,0,0
"30","22_b","10","0.5",NA,1,0,0.377,4439.2,138.6176,56.6706382978723,1.76958638297873,1.69265367316342,0,0
"31","23_b","23","3",NA,1,0.001,0.458,5241.12,408.9792,66.907914893617,5.22101106382979,1.66342648845687,0,0
"32","24_b","28","5",NA,1,0.002,0.46,5212.48,478.8608,66.5422978723404,6.11311659574469,1.65500603136309,0,0
"33","25_b","30","5",NA,1,0,0.367,4152.8,425.017600000001,53.0144680851064,5.42575659574469,1.64767616191904,0,0
"34","26_b","5","0",NA,1,0,0.452,5097.92,552.179200000001,65.079829787234,7.04909617021277,1.64520048602673,0,0
"35","27_b","36","7",NA,1,0,0.356,4038.24,395.231999999999,51.552,5.04551489361701,1.65015479876161,0,0
"36","28_b","26","5",NA,1,0,0.436,4868.8,616.332800000001,62.1548936170213,7.86807829787236,1.63454317897372,0,0
"37","29_b","35","7",NA,1,0,0.39,4439.2,406.687999999998,56.6706382978724,5.19176170212764,1.65439093484419,0,0
"38","30_b","1","0",NA,1,0.001,0.428,4897.44,381.4848,62.5205106382979,4.87001872340425,1.66319895968791,0,0
"39","2b",NA,NA,NA,NA,0.002,0.202,2348.48,84.7743999999989,NA,NA,1.68627450980392,0,0
"40","3b",NA,NA,NA,NA,0,0.095,1059.68,136.3264,NA,NA,1.62146892655367,0,0
"41","4b",NA,NA,NA,NA,0,0.113,1260.16,162.6752,NA,NA,1.62380952380952,0,0
"42","5b",NA,NA,NA,NA,0.004,0.051,601.44,-65.2992000000001,NA,NA,1.76543209876543,0,0
"43","6b","13","1",NA,2,-0.009,0.474,4181.44,2767.7696,83.6288,55.3553920000001,1.43096646942801,0,0
"44","7b","init2","NA",NA,2,-0.011,0.77,8849.76,883.257599999999,106.19712,10.5990912,1.65257223396758,0,0
"45","8b","5","0",NA,2,0.008,0.38,3837.76,1069.9904,76.7552,21.399808,1.55927475592748,0,0
"46","9b","2","0",NA,2,0.008,0.329,1775.68,3565.1072,35.5136,71.302144,1.23717948717949,0,0
"47","10b","11","0.5",NA,2,0.007,0.341,2978.56,1764.224,59.5712,35.28448,1.44877344877345,0,0
"48","11b","8","0.5",NA,2,0.007,0.469,3866.4,2876.6016,77.328,57.5320320000001,1.41056910569106,0,0
"49","12b","20","3",NA,2,0.006,0.372,3637.28,1291.0912,72.7456,25.821824,1.52777777777778,0,0
"50","14b","14","1",NA,2,0.007,0.478,4811.52,1436.5824,96.2304,28.731648,1.5515350877193,0,0
"51","15b","30","5",NA,2,0.007,0.391,3895.04,1218.9184,66.7721142857143,20.895744,1.54484605087015,0,0
"52","16b","17","1",NA,2,0.007,0.421,3952.32,1739.0208,79.0464,34.780416,1.49699157641396,0,0
"53","17b","19","3",NA,2,0.009,0.429,4124.16,1567.1808,82.4832,31.343616,1.51865222623345,0,0
"54","18b","31","7",NA,2,0.007,0.408,3923.68,1520.2112,78.4736,30.404224,1.51572327044025,0,0
"55","19b","23","3",NA,2,0.007,0.372,3637.28,1270.4704,72.7456,25.409408,1.52998605299861,0,0
"56","20b","27","5",NA,2,0.006,0.357,3522.72,1178.8224,70.4544,23.576448,1.53566229985444,0,0
"57","21b","32","7",NA,2,0.006,0.4,3980.96,1277.344,79.6192,25.54688,1.54166666666667,0,0
"58","22b","36","7",NA,2,0.007,0.434,4296,1415.9616,85.92,28.319232,1.53836930455635,0,0
"59","23b","21","3",NA,2,0.007,0.394,3980.96,1132.9984,79.6192,22.659968,1.55689424364123,0,0
"60","24b","6","0",NA,2,0.008,0.481,4668.32,1724.128,93.3664,34.48256,1.52304394426581,0,0
"61","25b","29","5",NA,2,0.007,0.399,3780.48,1580.928,56.7072,23.71392,1.50446998722861,0,0
"62","26b","28","5",NA,2,0.007,0.457,4467.84,1594.6752,89.3568,31.893504,1.52768361581921,0,0
"63","27b","24","3",NA,2,0.007,0.351,3522.72,1034.4768,70.4544,20.689536,1.55255255255255,0,0
"64","28b","22","3",NA,2,0.011,0.412,4009.6,1372.4288,80.192,27.448576,1.53307888040712,0,0
"65","29b","25","5",NA,2,0.009,0.412,4181.44,1118.1056,83.6288,22.362112,1.56459948320413,0,0
"66","30b","15","1",NA,2,0.007,0.481,4696.96,1695.488,93.9392,33.90976,1.52625937834941,0,0
"67","31b","33","7",NA,2,0.007,0.446,4353.28,1564.8896,58.0437333333333,20.8651946666667,1.52662037037037,0,0
"68","32b","18","1",NA,2,0.007,0.45,4238.72,1844.416,84.7744,36.88832,1.49887387387387,0,0
"69","33b","3","0",NA,2,0.008,0.474,4811.52,1333.4784,96.2304,26.669568,1.56075808249721,0,0
"70","34b","12","0.5",NA,2,0.007,0.375,3637.28,1332.3328,72.7456,26.646656,1.52341597796143,0,0
"71","35b","10","0.5",NA,2,0.007,0.514,5212.48,1489.28,104.2496,29.7856,1.55725971370143,0,0
"72","36b","4","0",NA,2,0.006,0.345,3436.8,1079.1552,68.736,21.583104,1.54393939393939,0,0
"73","37b","9","0.5",NA,2,0.006,0.452,4525.12,1413.6704,90.5024,28.273408,1.54555940023068,0,0
"74","38b","1","0",NA,2,0.008,0.377,3809.12,1057.3888,76.1824,21.147776,1.55977496483826,0,0
"75","39b","7","0.5",NA,2,0.007,0.487,4782.88,1671.4304,95.6576,33.428608,1.5307855626327,0,0
"76","40b","init1","NA",NA,2,0.006,0.844,9880.8,285.254399999999,118.5696,3.42305279999999,1.69770580296896,0,0
"77","41b",NA,NA,NA,NA,0.005,0.089,1059.68,-90.5023999999999,NA,NA,1.76388888888889,0,0
"78","42b",NA,NA,NA,NA,0.005,0.12,1288.8,154.656,NA,NA,1.62910798122066,0,0
"79","43b",NA,NA,NA,NA,0.005,0.163,1832.96,105.3952,NA,NA,1.67017543859649,0,0
"80","44b",NA,NA,NA,NA,0.004,0.077,773.28,175.2768,NA,NA,1.56737588652482,0,0
"81","45b",NA,NA,NA,NA,0.005,0.082,716,356.2816,NA,NA,1.46540880503145,0,0
"82","47b","16","1",NA,2,0.007,0.365,3264.96,1766.5152,65.2992,35.330304,1.46394557823129,0,0
"83","48b","35","7",NA,2,0.007,0.5,4868.8,1791.7184,97.376,35.834368,1.52366255144033,0,0
"84","49b",NA,NA,NA,NA,0.005,0.197,2405.76,-178.7136,NA,NA,1.76758409785933,0,0
"85","50b","26","5",NA,2,0.006,0.339,3408.16,1004.6912,68.1632,20.093824,1.55193798449612,0,0
"86","51b","34","7",NA,2,0.007,0.351,3379.52,1280.7808,67.5904,25.615616,1.51835535976505,0,0
