"","Sample.ID.x","Flask","Dose","Chek_Turb_750","Check_Absorb","Check_chla","Check_pheo","Chla_ugL","Pheo_ugL","ratio_be_af_eth_corr","Flag_Chla_ugL","Flag_Pheo_ugL"
"1","3b","1","0",0.005,0.457,5069.28,601.440000000001,64.7142127659575,7.67795744680852,1.63922518159806,0,0
"2","15b","21","3",0.01,0.492,5556.16,382.630399999999,70.9297021276596,4.88464340425531,1.66936416184971,0,0
"3","19b","32","7",0.009,0.418,4725.6,305.875200000001,60.3268085106383,3.90478978723405,1.67121418826739,0,0
"4","20b","19","3",0.011,0.385,4267.36,372.319999999999,54.4769361702128,4.75302127659573,1.65680473372781,0,0
"5","5b","11","0.5",0.01,0.445,5012,349.408,63.9829787234043,4.46052765957446,1.66837387964149,0,0
"6","6b","15","1",0.008,0.375,4210.08,326.496000000001,53.7457021276596,4.1680340425532,1.66263237518911,0,0
"7","7b","29","5",0.009,0.395,4381.92,422.726399999998,55.9394042553192,5.39650723404253,1.65142857142857,0,0
"8","9b","7","0.5",0.006,0.427,4840.16,356.2816,61.7892765957447,4.54827574468085,1.66578599735799,0,0
"9","11b","init2","NA",0.003,0.144,1603.84,148.928,9.62304,0.893568000000002,1.64453125,0,0
"10","14b","3","0",0.006,0.48,5355.68,562.4896,68.3703829787234,7.18071829787234,1.64733178654292,0,0
"11","2_b","13","1",-0.001,0.452,4983.36,769.8432,63.6173617021277,9.8277855319149,1.61933174224344,0,0
"12","3_b","31","7",-0.002,0.432,4926.08,476.5696,62.8861276595745,6.08386723404255,1.65184243964422,0,0
"13","4_b","34","7",-0.002,0.335,3723.2,545.305599999998,47.5302127659575,6.96134808510636,1.62218649517685,0,0
"14","5_b","18","1",0.001,0.484,5498.88,501.772799999999,70.1984680851064,6.40561021276595,1.65560640732265,0,0
"15","6_b","16","1",-0.001,0.425,4926.08,311.6032,62.8861276595745,3.97791319148936,1.67234600262123,0,0
"16","7_b","17","1",-0.001,0.458,5327.04,302.4384,68.0047659574468,3.86091574468086,1.67682926829268,0,0
"17","8_b","33","7",-0.002,0.317,3608.64,371.174399999999,46.0677446808511,4.73839659574467,1.64655172413793,0,0
"18","9_b","6","0",0,0.442,4954.72,592.275200000001,63.2517446808511,7.56096000000001,1.63861386138614,0,0
"19","10_b","12","0.5",-0.001,0.39,4410.56,476.569599999998,56.3050212765958,6.08386723404253,1.64466292134831,0,0
"20","11_b","27","5",-0.001,0.361,4066.88,469.696000000001,51.9176170212766,5.99611914893618,1.63993948562784,0,0
"21","12_b","24","3",0,0.378,4296,405.5424,54.8425531914894,5.1771370212766,1.65255474452555,0,0
"22","13_b","20","3",-0.001,0.439,5012,452.512000000001,63.9829787234043,5.77674893617023,1.65577889447236,0,0
"23","15_b","9","0.5",0.002,0.319,3580,379.193599999999,45.7021276595745,4.84076936170212,1.64471403812825,0,0
"24","16_b","init1","NA",-0.001,0.171,1947.52,197.043199999999,11.68512,1.18225919999999,1.64217252396166,0,0
"25","17_b","25","5",0,0.462,5327.04,364.3008,68.0047659574468,4.6506485106383,1.66948130277443,0,0
"26","18_b","14","1",0,0.474,5355.68,562.4896,68.3703829787234,7.18071829787234,1.64733178654292,0,0
"27","19_b","8","0.5",0,0.484,5613.44,325.350399999999,71.6609361702128,4.15340936170212,1.67630057803468,0,0
"28","20_b","22","3",0,0.353,4582.4,-602.5856,58.4987234042553,-7.69258212765958,1.82241379310345,0,0
"29","21_b","2","0",0,0.436,4983.36,419.2896,63.6173617021277,5.35263319148936,1.65946632782719,0,0
"30","22_b","10","0.5",0,0.377,4439.2,138.6176,56.6706382978723,1.76958638297873,1.69265367316342,0,0
"31","23_b","23","3",0.001,0.458,5241.12,408.9792,66.907914893617,5.22101106382979,1.66342648845687,0,0
"32","24_b","28","5",0.002,0.46,5212.48,478.8608,66.5422978723404,6.11311659574469,1.65500603136309,0,0
"33","25_b","30","5",0,0.367,4152.8,425.017600000001,53.0144680851064,5.42575659574469,1.64767616191904,0,0
"34","26_b","5","0",0,0.452,5097.92,552.179200000001,65.079829787234,7.04909617021277,1.64520048602673,0,0
"35","27_b","36","7",0,0.356,4038.24,395.231999999999,51.552,5.04551489361701,1.65015479876161,0,0
"36","28_b","26","5",0,0.436,4868.8,616.332800000001,62.1548936170213,7.86807829787236,1.63454317897372,0,0
"37","29_b","35","7",0,0.39,4439.2,406.687999999998,56.6706382978724,5.19176170212764,1.65439093484419,0,0
"38","30_b","1","0",0.001,0.428,4897.44,381.4848,62.5205106382979,4.87001872340425,1.66319895968791,0,0
